StationCode,Type
FrontStMaidenLn,C
FrontStWashingtonSt,C
FultonStClermontAve,C
FultonStGrandAve,C
FultonStRockwellPl,C
FultonStWaverlyAve,C
FultonStWilliamSt,C
GallatinPlLivingstonSt,C
GrandArmyPlazaCentralParkS,C
GrandStGreeneSt,C
GrandStHavemeyerSt,C
GreatJonesSt,C
GreenwichAve8Ave,C
GreenwichAveCharlesSt,C
GreenwichStNMooreSt,C
GreenwichStWarrenSt,C
HancockStBedfordAve,C
HanoverPlLivingstonSt,C
HarrisonStHudsonSt,C
HenryStAtlanticAve,C
HenryStGrandSt,C
HenryStPoplarSt,C
HicksStMontagueSt,C
HowardStCentreSt,C
HudsonStReadeSt,C
JayStTechPl,C
JohnStWilliamSt,C
JohnsonStGoldSt,C
JoralemonStAdamsSt,C
KentAveS11St,C
LaGuardiaPlW3St,C
LafayetteAveClassonAve,C
LafayetteAveFortGreenePl,C
LafayetteAveStJamesPl,C
LafayetteStE8St,C
LafayetteStJerseySt,C
LaightStHudsonSt,C
LawrenceStWilloughbySt,C
LeffertsPlFranklinAve,C
LeonardStChurchSt,C
LexingtonAveE24St,C
LexingtonAveE26St,C
LibertyStBroadway,C
LispenardStBroadway,C
LittleWestSt1Pl,C
MacDougalStPrinceSt,C
MacDougalStWashingtonSq,C
MaconStNostrandAve,C
MadisonStClintonSt,C
MadisonStMontgomerySt,C
MaidenLnPearlSt,C
MarketStCherrySt,C
MercerStBleeckerSt,C
MercerStSpringSt,C
MetropolitanAveBedfordAve,C
MonroeStBedfordAve,C
MonroeStClassonAve,C
MottStPrinceSt,C
MurrayStWestSt,C
MyrtleAveStEdwardsSt,C
NassauStNavySt,C
NorfolkStBroomeSt,C
OldFultonSt,C
OldSlipFrontSt,C
ParkAveStEdwardsSt,C
PearlStAnchoragePl,C
PearlStHanoverSquare,C
PeckSlipFrontStreet,C
PerryStBleeckerSt,C
PershingSquareNorth,C
PershingSquareSouth,C
PikeStEBroadway,C
PikeStMonroeSt,C
PittStStantonSt,C
RailroadAveKayAve,C
ReadeStBroadway,C
RivingtonStChrystieSt,C
RivingtonStRidgeSt,C
S3StBedfordAve,C
S4StWytheAve,C
S5PlS4St,C
SPortlandAveHansonPl,C
SandsStNavySt,C
ShevchenkoPlE7St,C
SouthEndAveLibertySt,C
SouthStGouverneurLn,C
SouthStWhitehallSt,C
SpruceStNassauSt,C
StJamesPlOliverSt,C
StJamesPlPearlSt,C
StMarksPl1Ave,C
StMarksPl2Ave,C
StantonStChrystieSt,C
StantonStManginSt,C
StateStSmithSt,C
SuffolkStStantonSt,C
SullivanStWashingtonSq,C
UniversityPlE14St,C
VeseyPlRiverTerrace,C
W11St6Ave,C
W13St6Ave,C
W13St7Ave,C
W14StTheHighLine,C
W15St7Ave,C
W16StTheHighLine,C
W17St8Ave,C
W18St6Ave,C
W20St11Ave,C
W20St7Ave,C
W20St8Ave,C
W21St6Ave,C
W22St10Ave,C
W22St8Ave,C
W24St7Ave,C
W25St6Ave,C
W26St10Ave,C
W26St8Ave,C
W27St7Ave,C
W29St9Ave,C
W31St7Ave,C
W33St7Ave,C
W34St11Ave,C
W37St10Ave,C
W37St5Ave,C
W38St8Ave,C
W39St9Ave,C
W4St7AveS,C
W41St8Ave,C
W42St8Ave,C
W43St10Ave,C
W43St6Ave,C
W44St5Ave,C
W45St6Ave,C
W45St8Ave,C
W46St11Ave,C
W47St10Ave,C
W49St8Ave,C
W51St6Ave,C
W52St11Ave,C
W52St5Ave,C
W52St9Ave,C
W53St10Ave,C
W54St9Ave,C
W56St10Ave,C
W56St6Ave,C
W59St10Ave,C
WBroadwaySpringSt,C
WHoustonStHudsonSt,C
WarrenStChurchSt,C
WashingtonAveGreeneAve,C
